#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
   0.0000000       1.6624126       2.2816133      0.68993664       0.0000000       0.0000000       8.3720655      -4.5999999       61.841167    
  0.99999998E-02   1.6624126       2.1612415      0.68307167      0.73250771E-01  0.70786759E-01   8.2020607      -4.5947556       57.306431    
  0.20000000E-01   1.6624126       1.8001258      0.67627496      0.14650154      0.14157352       7.6920452      -4.5895104       52.771698    
  0.29999999E-01   1.6503601       1.8037483      0.66954589      0.21681985      0.20947155       7.6348181      -4.5737405       49.681919    
  0.39999999E-01   1.6443007       1.8000463      0.66288382      0.28711820      0.27734953       7.5193472      -4.5579700       46.592136    
  0.49999997E-01   1.6272625       1.7838277      0.65628803      0.35215539      0.33998764       7.3911414      -4.5330224       42.234394    
  0.59999999E-01   1.6158038       1.7646955      0.64975786      0.41710541      0.40253654       7.2735286      -4.5080757       37.876656    
  0.70000000E-01   1.5948404       1.7462953      0.64329267      0.47529405      0.45832837       7.1063199      -4.4756436       33.049046    
  0.79999998E-01   1.5789350       1.7276499      0.63689178      0.53327644      0.51390737       6.9647479      -4.4432106       28.221439    
  0.89999996E-01   1.5552047       1.6998860      0.63055462      0.58389199      0.56211632       6.7738547      -4.4051752       23.595072    
  0.99999994E-01   1.5359569       1.6783704      0.62428051      0.63414693      0.60995096       6.6126513      -4.3671408       18.968708    
  0.11000000       1.5105423       1.6525705      0.61806881      0.67717403      0.65055180       6.4128242      -4.3253193       14.959383    
  0.12000000       1.4890323       1.6292077      0.61191893      0.71967626      0.69060522       6.2382226      -4.2834973       10.950058    
  0.13000000       1.4628465       1.6009835      0.60583019      0.75558555      0.72406107       6.0378656      -4.2394743       7.7291737    
  0.14000000       1.4400227       1.5771013      0.59980208      0.79081929      0.75680912       5.8588867      -4.1954508       4.5082903    
  0.14999999       1.4137763       1.5496535      0.59383398      0.82035071      0.78385347       5.6632123      -4.1505051       2.0744295    
  0.16000000       1.3904042       1.5233693      0.58792520      0.84908384      0.81005746       5.4862709      -4.1055593     -0.35943115    
  0.17000000       1.3646135       1.4972173      0.58207530      0.87307829      0.83152658       5.2996535      -4.0606623      -2.1018188    
  0.17999999       1.3412722       1.4720533      0.57628351      0.89618534      0.85205686       5.1285095      -4.0157647      -3.8442063    
  0.19000000       1.3162880       1.4454243      0.57054943      0.91547650      0.86878031       4.9532962      -3.9716160      -5.0245934    
  0.19999999       1.2933896       1.4207616      0.56487238      0.93382472      0.88450050       4.7902460      -3.9274669      -6.2049809    
  0.20999999       1.2694324       1.3959988      0.55925179      0.94917953      0.89724207       4.6271029      -3.8845406      -6.9532762    
  0.22000000       1.2472538       1.3721256      0.55368710      0.96356428      0.90894556       4.4741030      -3.8416145      -7.7015724    
  0.22999999       1.2244465       1.3471292      0.54817784      0.97565687      0.91837692       4.3228970      -3.8002136      -8.1295528    
  0.23999999       1.2031602       1.3243474      0.54272342      0.98677558      0.92675972       4.1804099      -3.7588127      -8.5575342    
  0.25000000       1.1815566       1.3019786      0.53732318      0.99618208      0.93345535       4.0409679      -3.7191110      -8.7563515    
  0.25999999       1.1612581       1.2797369      0.53197676       1.0046282      0.93911004       3.9087200      -3.6794097      -8.9551697    
  0.26999998       1.1408639       1.2581067      0.52668351       1.0118325      0.94355255       3.7805467      -3.6414902      -8.9941216    
  0.28000000       1.1215943       1.2376060      0.52144289       1.0181026      0.94697517       3.6584918      -3.6035707      -9.0330734    
  0.28999999       1.1023841       1.2172655      0.51625448       1.0235064      0.94956583       3.5407572      -3.5674505      -8.9638987    
  0.29999998       1.0841475       1.1974670      0.51111764       1.0280105      0.95116699       3.4278233      -3.5313301      -8.8947220    
  0.31000000       1.0660758       1.1788018      0.50603193       1.0319455      0.95223737       3.3198440      -3.4969833      -8.7554264    
  0.31999999       1.0488508       1.1601539      0.50099683       1.0350204      0.95235455       3.2158587      -3.4626362      -8.6161318    
  0.32999998       1.0318608       1.1418459      0.49601182       1.0377594      0.95217776       3.1166487      -3.4300079      -8.4334087    
  0.34000000       1.0156107       1.1243259      0.49107641       1.0396813      0.95108765       3.0207856      -3.3973799      -8.2506857    
  0.34999999      0.99964005       1.1075221      0.48619011       1.0414484      0.94988900       2.9295795      -3.3663979      -8.0433712    
  0.35999998      0.98431873       1.0913813      0.48135248       1.0424422      0.94781840       2.8409326      -3.3354166      -7.8360567    
  0.37000000      0.96930254       1.0752659      0.47656292       1.0434214      0.94578302       2.7570329      -3.3059986      -7.6173682    
  0.38000000      0.95485908       1.0597625      0.47182107       1.0436711      0.94291788       2.6753929      -3.2765810      -7.3986797    
  0.38999999      0.94073343       1.0446358      0.46712637       1.0440141      0.94019920       2.5979168      -3.2486408      -7.1776872    
  0.39999998      0.92711478       1.0297619      0.46247834       1.0436704      0.93669230       2.5225916      -3.2207007      -6.9566946    
  0.41000000      0.91381741       1.0155574      0.45787665       1.0435020      0.93341702       2.4511061      -3.1941500      -6.7391410    
  0.41999999      0.90097094       1.0018348      0.45332071       1.0426884      0.92939419       2.3813567      -3.1675992      -6.5215874    
  0.42999998      0.88844287      0.98847061      0.44881007       1.0421114      0.92566776       2.3152542      -3.1423512      -6.3111825    
  0.44000000      0.87631726      0.97553670      0.44434431       1.0409290      0.92123294       2.2506411      -3.1171026      -6.1007776    
  0.44999999      0.86450273      0.96270299      0.43992302       1.0400283      0.91714329       2.1894343      -3.0930724      -5.8998809    
  0.45999998      0.85304886      0.95050734      0.43554571       1.0385600      0.91238266       2.1295636      -3.0690422      -5.6989841    
  0.47000000      0.84189594      0.93841046      0.43121195       1.0374060      0.90800327       2.0727680      -3.0461507      -5.5089312    
  0.47999999      0.83106732      0.92667413      0.42692134       1.0357200      0.90298867       2.0171347      -3.0232589      -5.3188772    
  0.48999998      0.82052779      0.91547990      0.42267343       1.0343716      0.89838129       1.9644240      -3.0014296      -5.1402593    
  0.50000000      0.81028086      0.90438747      0.41846773       1.0325246      0.89317268       1.9127260      -2.9796007      -4.9616413    
  0.50999999      0.80031008      0.89360243      0.41430390       1.0310307      0.88838947       1.8637624      -2.9587631      -4.7946258    
  0.51999998      0.79060423      0.88311154      0.41018152       1.0290695      0.88303709       1.8155382      -2.9379256      -4.6276102    
  0.52999997      0.78116113      0.87271571      0.40610015       1.0274705      0.87812221       1.7699287      -2.9180119      -4.4718642    
  0.53999996      0.77195859      0.86297584      0.40205941       1.0254338      0.87266839       1.7250494      -2.8980985      -4.3161187    
  0.55000001      0.76300514      0.85312891      0.39805880       1.0237638      0.86765927       1.6824406      -2.8790472      -4.1711893    
  0.56000000      0.75427085      0.84371442      0.39409807       1.0216836      0.86213982       1.6405659      -2.8599961      -4.0262594    
  0.56999999      0.74577248      0.83437985      0.39017674       1.0199709      0.85706848       1.6008271      -2.8417487      -3.8916516    
  0.57999998      0.73747420      0.82544708      0.38629439       1.0178739      0.85151380       1.5616952      -2.8235016      -3.7570436    
  0.58999997      0.72939873      0.81658655      0.38245073       1.0161421      0.84640747       1.5245339      -2.8060055      -3.6321402    
  0.59999996      0.72150660      0.80793661      0.37864527       1.0140501      0.84084344       1.4879559      -2.7885089      -3.5072365    
  0.61000001      0.71382463      0.79967946      0.37487766       1.0123192      0.83572572       1.4531971      -2.7717128      -3.3914218    
  0.62000000      0.70631099      0.79145163      0.37114757       1.0102504      0.83017433       1.4189180      -2.7549171      -3.2756069    
  0.63000000      0.69899571      0.78344196      0.36745462       1.0085372      0.82506549       1.3864080      -2.7387753      -3.1682768    
  0.63999999      0.69183534      0.77560991      0.36379838       1.0065070      0.81954581       1.3542395      -2.7226343      -3.0609465    
  0.64999998      0.68486184      0.76798236      0.36017853       1.0048255      0.81446344       1.3237139      -2.7071042      -2.9614875    
  0.65999997      0.67803121      0.76037449      0.35659468       1.0028464      0.80899161       1.2936143      -2.6915739      -2.8620286    
  0.66999996      0.67137671      0.75324637      0.35304654       1.0012081      0.80395079       1.2649986      -2.6766155      -2.7698400    
  0.68000001      0.66485411      0.74598700      0.34953365      0.99929059      0.79854089       1.2366855      -2.6616576      -2.6776514    
  0.69000000      0.65849763      0.73904890      0.34605572      0.99770522      0.79355490       1.2098765      -2.6472337      -2.5922313    
  0.69999999      0.65226340      0.73211741      0.34261239      0.99585766      0.78821909       1.1832949      -2.6328106      -2.5068109    
  0.70999998      0.64618546      0.72535992      0.33920336      0.99433339      0.78329933       1.1580373      -2.6188881      -2.4275999    
  0.71999997      0.64022112      0.71886486      0.33582821      0.99256265      0.77804792       1.1330605      -2.6049654      -2.3483887    
  0.72999996      0.63440400      0.71240270      0.33248669      0.99110574      0.77320439       1.1093594      -2.5915115      -2.2749009    
  0.74000001      0.62869245      0.70606536      0.32917836      0.98941737      0.76804644       1.0858722      -2.5780582      -2.2014134    
  0.75000000      0.62311977      0.69988137      0.32590300      0.98803312      0.76328790       1.0635791      -2.5650446      -2.1331692    
  0.75999999      0.61764544      0.69393259      0.32266021      0.98643118      0.75823116       1.0414773      -2.5520306      -2.0649250    
  0.76999998      0.61230195      0.68800676      0.31944969      0.98512363      0.75356507       1.0204551      -2.5394297      -2.0015633    
  0.77999997      0.60705024      0.68218923      0.31627113      0.98361140      0.74861628      0.99972254      -2.5268281      -1.9382018    
